辞書コード,辞書名,コードラベル,コード値
1,性別,男性,M
1,性別,女性,F
2,YES/NO,はい,y
2,YES/NO,いいえ,n
3,年月日年,2014,2014
3,年月日年,2015,2015
3,年月日年,2016,2016
4,年月日月,01,01
4,年月日月,02,02
4,年月日月,03,03
4,年月日月,04,04
4,年月日月,05,05
4,年月日月,06,06
4,年月日月,07,07
4,年月日月,08,08
4,年月日月,09,09
4,年月日月,10,10
4,年月日月,11,11
4,年月日月,12,12
5,年月日日,01,01
5,年月日日,02,02
5,年月日日,03,03
5,年月日日,04,04
5,年月日日,05,05
5,年月日日,06,06
5,年月日日,07,07
5,年月日日,08,08
5,年月日日,09,09
5,年月日日,10,10
5,年月日日,11,11
5,年月日日,12,12
5,年月日日,13,13
5,年月日日,14,14
5,年月日日,15,15
5,年月日日,16,16
5,年月日日,17,17
5,年月日日,18,18
5,年月日日,19,19
5,年月日日,20,20
5,年月日日,21,21
5,年月日日,22,22
5,年月日日,23,23
5,年月日日,24,24
5,年月日日,25,25
5,年月日日,26,26
5,年月日日,27,27
5,年月日日,28,28
5,年月日日,29,29
5,年月日日,30,30
5,年月日日,31,31
6,時分時,00,00
6,時分時,01,01
6,時分時,02,02
6,時分時,03,03
6,時分時,04,04
6,時分時,05,05
6,時分時,06,06
6,時分時,07,07
6,時分時,08,08
6,時分時,09,09
6,時分時,10,10
6,時分時,11,11
6,時分時,12,12
6,時分時,13,13
6,時分時,14,14
6,時分時,15,15
6,時分時,16,16
6,時分時,17,17
6,時分時,18,18
6,時分時,19,19
6,時分時,20,20
6,時分時,21,21
6,時分時,22,22
6,時分時,23,23
7,時分分,00,00
7,時分分,01,01
7,時分分,02,02
7,時分分,03,03
7,時分分,04,04
7,時分分,05,05
7,時分分,06,06
7,時分分,07,07
7,時分分,08,08
7,時分分,09,09
7,時分分,10,10
7,時分分,11,11
7,時分分,12,12
7,時分分,13,13
7,時分分,14,14
7,時分分,15,15
7,時分分,16,16
7,時分分,17,17
7,時分分,18,18
7,時分分,19,19
7,時分分,20,20
7,時分分,21,21
7,時分分,22,22
7,時分分,23,23
7,時分分,24,24
7,時分分,25,25
7,時分分,26,26
7,時分分,27,27
7,時分分,28,28
7,時分分,29,29
7,時分分,30,30
7,時分分,31,31
7,時分分,32,32
7,時分分,33,33
7,時分分,34,34
7,時分分,35,35
7,時分分,36,36
7,時分分,37,37
7,時分分,38,38
7,時分分,39,39
7,時分分,40,40
7,時分分,41,41
7,時分分,42,42
7,時分分,43,43
7,時分分,44,44
7,時分分,45,45
7,時分分,46,46
7,時分分,47,47
7,時分分,48,48
7,時分分,49,49
7,時分分,50,50
7,時分分,51,51
7,時分分,52,52
7,時分分,53,53
7,時分分,54,54
7,時分分,55,55
7,時分分,56,56
7,時分分,57,57
7,時分分,58,58
7,時分分,59,59
7,時分分,59,59
8,該当,該当,y
8,該当,該当せず,n
